"","genotype","population"
"163",1,"virginia"
"164",1,"virginia"
"165",0,"virginia"
"166",1,"virginia"
"167",2,"virginia"
"168",2,"virginia"
"169",1,"virginia"
"170",1,"virginia"
"171",0,"virginia"
"172",0,"virginia"
"173",1,"virginia"
"174",0,"virginia"
"175",1,"virginia"
"176",2,"virginia"
"177",1,"virginia"
"178",2,"virginia"
"179",1,"virginia"
"180",1,"virginia"
"181",1,"virginia"
"182",1,"virginia"
"183",1,"virginia"
"184",0,"virginia"
"185",2,"virginia"
"186",0,"virginia"
"187",2,"virginia"
"188",2,"virginia"
"189",0,"virginia"
"190",1,"virginia"
"191",1,"virginia"
"192",0,"virginia"
"193",1,"virginia"
"194",2,"virginia"
"195",0,"virginia"
"196",0,"virginia"
"197",1,"virginia"
"198",0,"virginia"
"199",2,"virginia"
"200",2,"virginia"
"201",1,"virginia"
"202",2,"virginia"
"203",2,"virginia"
"204",1,"virginia"
"205",2,"virginia"
"206",1,"virginia"
"207",0,"virginia"
"208",2,"virginia"
"209",2,"virginia"
"210",2,"virginia"
"211",1,"virginia"
"212",1,"virginia"
"213",1,"virginia"
"214",1,"virginia"
"215",1,"virginia"
"216",1,"virginia"
"217",1,"virginia"
"218",2,"virginia"
"219",1,"virginia"
"220",2,"virginia"
"221",1,"virginia"
"222",0,"virginia"
"223",1,"virginia"
"224",1,"virginia"
"225",1,"virginia"
"226",1,"virginia"
"227",1,"virginia"
"228",2,"virginia"
"229",2,"virginia"
"230",1,"virginia"
"231",2,"virginia"
"232",1,"virginia"
"233",1,"virginia"
"234",1,"virginia"
"235",2,"virginia"
"236",0,"virginia"
"237",1,"virginia"
"238",2,"virginia"
"239",0,"virginia"
"240",1,"virginia"
"241",1,"virginia"
"242",2,"virginia"
"243",0,"virginia"
"244",0,"virginia"
"245",0,"virginia"
"246",2,"virginia"
"247",1,"virginia"
"248",2,"virginia"
"249",2,"virginia"
"250",0,"virginia"
"251",1,"virginia"
"252",2,"virginia"
"253",0,"virginia"
"254",2,"virginia"
"255",2,"virginia"
"256",2,"virginia"
"257",1,"virginia"
"258",1,"virginia"
"259",1,"virginia"
"260",2,"virginia"
"261",2,"virginia"
"262",1,"virginia"
"263",2,"virginia"
"264",1,"virginia"
"265",0,"virginia"
"266",2,"virginia"
"267",1,"virginia"
"268",2,"virginia"
"269",1,"virginia"
"270",2,"virginia"
"271",2,"virginia"
"272",1,"virginia"
"273",2,"virginia"
"274",2,"virginia"
"275",2,"virginia"
"276",2,"virginia"
"277",1,"virginia"
"278",2,"virginia"
"279",1,"virginia"
"280",0,"virginia"
"281",2,"virginia"
"282",2,"virginia"
"283",2,"virginia"
"284",2,"virginia"
"285",2,"virginia"
"286",1,"virginia"
"287",1,"virginia"
"288",1,"virginia"
"289",0,"virginia"
"290",0,"virginia"
"291",0,"virginia"
"292",2,"virginia"
"293",2,"virginia"
"294",1,"virginia"
"295",0,"virginia"
"296",2,"virginia"
"297",2,"virginia"
"298",2,"virginia"
"299",0,"virginia"
"300",2,"virginia"
